tweet,user_name,country,user_location,language
they were literally just siblings fighting arguing it s a bit overdramatic to be mad abt what either of them said , zahra,NONE,NONE,en
did you know that the belgian army is stalked by crazed fans from tumblr ,Did You Know ,NONE,USA,en
as hilarious as this sounds it didn t happen ,Uncle Phil,NONE,United Kingdom,en
myanmar s rohingya cornered by poverty stalked by violence ,Digital Journal,NONE,Canada,en
i aint gonna get bullied by a 6 2 punk gago ka ah ,adventure seaker ,NONE,NONE,en
aubameyang is obviously better but i feel like belotti is the better option belotti is physical and v , Lion of Wall St ,NONE,United Kingdom,en
i was bullied by my friend ,key,NONE,NONE,en
been bullied by flies for the past 2 hours,jordie,NONE,USA,en
nobody gives a af about a final spoby kiss they could hugged or something nothing was romantic about it she spoke f ,Spoby,NONE,USA,en
you are entitled to have a wonderful life and not be bullied by some ogre of a boss who wants you to work 24 7 for the bottom line ,Jane Fuller,NONE,United Kingdom,en
his arms while ezria haleb and emison were all hugged up that s bullshit if you wanted it to be uber romantic you ,Spoby,NONE,USA,en
myanmar s rohingya cornered by poverty stalked by violence ,PhotoTelegram,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence the star online ,Ronnie,NONE,NONE,en
trump train guy who gets bullied and made fun of by celebs the press politicians all the polls pundits ,BeachBumOCMD1,NONE,NONE,en
comelnya ,Nabila Aifa,United Kingdom,United Kingdom,in
pics teenager 16 was found hanged in school toilets after being bullied and called stupid pole by other ,Police Pics And Clip,NONE,NONE,en
excellent read by being an educated parent helps you help your kids backtoschool is around the corner ,Sue Scheff,NONE,USA,en
more online abuse for female mps i wonder who mark is a massive fan of ,Steven Duckworth,NONE,United Kingdom,en
myanmar s rohingya cornered by poverty stalked by violence via ,Dougy s Daily Digest,NONE,Australia,en
boy what the fuck , ,NONE,NONE,en
i feel really awful right now cos we were bullied by our client ,mieumieu,NONE,China,en
lloydy stone51 fuck me what s up with you like being stalked by my ex ,Martyn Lewis,United Kingdom,United Kingdom,en
noticed that he s pretty aggressive but also constantly bullied and taken down by bigger opponent if he can fix it he can be like verratti,Cuk,NONE,NONE,en
i do not endorse this tweet abusing any woman is unbecoming of any india ,Vivek Tiwari,NONE,NONE,en
helppppppppp ,lets create together,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence ,Bangladesh News,NONE,NONE,en
his like for young female does it match the clinical definition of abuse that the majority ,HTSC Memsphysicist,NONE,NONE,en
why subject your family to the hate and sexist remarks that will definitely come with ,Benny,NONE,Canada,en
alvi ,Sat Cit Ananda,NONE,NONE,en
some people harrassed him pretty badly after his cameo in got yesterday,Carolina,NONE,Portugal,en
get bullied by life be lyke ,Kirana,NONE,NONE,en
not always there are innocent people who are subjected to drama people who are stalked for example or shot by cops , DraftBernie ,NONE,USA,en
growing up with autism i was bullied a lot by young white kids should i blame all white kids for it no that would be insane ,Liam Hetherington,NONE,United Kingdom,en
i can t stand spit he s already finna get the x , ,NONE,NONE,en
someone dests over dramatic ass so she can post ab how she s bullied by her sister and niece bc i let her fuck ,little bell,NONE,NONE,en
i remember bein , Pepe Nukem ,NONE,NONE,en
girl bullied by british classmates for being polish found hanged in school news ,The Goldwater,NONE,USA,en
mom i m being bullied by 15 year olds,im pen but stronger,NONE,NONE,en
gerbils dont you try and tell her which princess he she it should have dresse ,aFiveSeveN,NONE,USA,en
this woman is bonkers only the bbc would entertain someone who is clearly a fanatical remainiac racia ,JJ ,NONE,United Kingdom,en
to be fair without hart celler most hispanics wouldn t be here ,Czar,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence via ,khin zaw myint,NONE,Burma,en
here comes the new boss same as the old boss ,Brummie BTGOG,NONE,United Kingdom,en
girl bullied by british classmates for being polish found hanged in school printz news ,8chan newsplus ,NONE,NONE,en
omg lmao , ,NONE,NONE,en
probably a guy who was bullied and turned down by women and wants to get revenge from anyone and everyone ,Jeanne Gough,NONE,Scotland,en
i just published girl bullied by british classmates for being polish found hanged in school ,The Goldwater,NONE,USA,en
girl bullied by british classmates for being polish found hanged in school ,The Goldwater,NONE,USA,en
weh me tell unu ,Gaza Chin ,NONE,NONE,in
rude man honks at old woman crossing walkway her revenge is brilliant ,econgirl,NONE,USA,en
i wouldnt blame uber or ola it s the ppl sex starved guys who drive its the prob of society max uber cud do is remo ,Karthick Kalidoss,NONE,NONE,en
im literally being bullied by my manager,Jess Frank,NONE,NONE,en
damn how i wish i was on twitter during this era of stan twitter ,Sergio Flores,NONE,USA,en
